LayDay,zscore_SAM,center_year,penguinseq
287,1.0172726047193401,-11,2799
287,1.0172726047193401,-11,1911
287,1.0172726047193401,-11,1482
281,1.0172726047193401,-11,1061
287,1.0172726047193401,-11,8482
283,1.0172726047193401,-11,2696
281,1.0172726047193401,-11,8155
285,1.0172726047193401,-11,4219
275,1.0172726047193401,-11,1756
283,1.0172726047193401,-11,3848
287,1.0172726047193401,-11,8489
281,1.0172726047193401,-11,17961
282,1.0172726047193401,-11,1438
287,1.0172726047193401,-11,2738
287,1.0172726047193401,-11,17962
287,1.0172726047193401,-11,2722
285,1.0172726047193401,-11,2135
289,1.0172726047193401,-11,18102
283,1.0172726047193401,-11,2474
278,1.0172726047193401,-11,4720
281,1.0172726047193401,-11,7864
281,1.0172726047193401,-11,2749
287,1.0172726047193401,-11,2579
283,1.0172726047193401,-11,2024
291,1.0172726047193401,-11,2609
280,1.0172726047193401,-11,8501
287,1.0172726047193401,-11,1512
283,1.0172726047193401,-11,4631
282,1.0172726047193401,-11,17991
283,1.0172726047193401,-11,1734
285,1.0172726047193401,-11,2464
281,1.0172726047193401,-11,8371
287,1.0172726047193401,-11,1359
275,1.0172726047193401,-11,17994
287,1.0172726047193401,-11,7952
283,1.0172726047193401,-11,2522
279,1.0172726047193401,-11,4161
283,1.0172726047193401,-11,2174
281,1.0172726047193401,-11,920
282,1.0172726047193401,-11,1754
287,1.0172726047193401,-11,17976
279,1.0172726047193401,-11,8027
283,1.0172726047193401,-11,2492
290,1.0172726047193401,-11,8505
287,1.0172726047193401,-11,2533
287,1.0172726047193401,-11,1472
287,1.0172726047193401,-11,14406
281,1.0172726047193401,-11,17992
285,1.0172726047193401,-11,850
283,1.0172726047193401,-11,3816
285,1.0172726047193401,-11,1059
281,1.0172726047193401,-11,2640
280,1.0172726047193401,-11,4238
287,1.0172726047193401,-11,1899
283,1.0172726047193401,-11,1266
273,1.0172726047193401,-11,4254
281,1.0172726047193401,-11,2706
282,1.0172726047193401,-11,8499
276,1.0172726047193401,-11,2664
283,1.0172726047193401,-11,2140
284,1.0172726047193401,-11,18014
283,1.0172726047193401,-11,8162
287,1.0172726047193401,-11,2699
287,1.0172726047193401,-11,8370
282,1.0172726047193401,-11,8507
275,1.0172726047193401,-11,8538
281,1.0172726047193401,-11,2525
287,1.0172726047193401,-11,8541
279,1.0172726047193401,-11,2437
285,1.0172726047193401,-11,36335
281,1.0172726047193401,-11,2438
285,1.0172726047193401,-11,2682
281,1.0172726047193401,-11,17962
280,1.0172726047193401,-11,1361
281,1.0172726047193401,-11,2684
282,1.0172726047193401,-11,1439
280,1.0172726047193401,-11,4591
285,1.0172726047193401,-11,18000
289,1.0172726047193401,-11,13095
280,1.0172726047193401,-11,25763
278,1.0172726047193401,-11,2436
282,1.0172726047193401,-11,3950
281,1.0172726047193401,-11,2063
281,1.0172726047193401,-11,2137
281,0.09384431453685328,-10,1759
284,0.09384431453685328,-10,18086
283,0.09384431453685328,-10,2409
285,0.09384431453685328,-10,8117
283,0.09384431453685328,-10,2132
281,0.09384431453685328,-10,2346
289,0.09384431453685328,-10,4704
292,0.09384431453685328,-10,1901
288,0.09384431453685328,-10,8044
281,0.09384431453685328,-10,8646
291,0.09384431453685328,-10,2292
284,0.09384431453685328,-10,18063
292,0.09384431453685328,-10,18373
283,0.09384431453685328,-10,1417
285,0.09384431453685328,-10,4697
286,0.09384431453685328,-10,2135
284,0.09384431453685328,-10,7932
284,0.09384431453685328,-10,859
292,0.09384431453685328,-10,13119
291,0.09384431453685328,-10,25484
287,0.09384431453685328,-10,1283
289,0.09384431453685328,-10,4578
287,0.09384431453685328,-10,2558
296,0.09384431453685328,-10,2076
285,0.09384431453685328,-10,1411
287,0.09384431453685328,-10,7835
283,0.09384431453685328,-10,8688
287,0.09384431453685328,-10,2646
306,0.09384431453685328,-10,1905
284,0.09384431453685328,-10,1909
293,0.09384431453685328,-10,13160
288,0.09384431453685328,-10,2354
285,0.09384431453685328,-10,13157
286,0.09384431453685328,-10,1907
293,0.09384431453685328,-10,4635
295,0.09384431453685328,-10,8142
292,0.09384431453685328,-10,17956
290,0.09384431453685328,-10,1192
289,0.09384431453685328,-10,2448
284,0.09384431453685328,-10,2694
282,0.09384431453685328,-10,1195
289,0.09384431453685328,-10,1436
285,0.09384431453685328,-10,1894
289,0.09384431453685328,-10,882
288,0.09384431453685328,-10,4771
288,0.09384431453685328,-10,3848
290,0.09384431453685328,-10,2675
289,0.09384431453685328,-10,1177
286,0.09384431453685328,-10,1904
286,0.09384431453685328,-10,1203
284,0.09384431453685328,-10,1022
294,0.09384431453685328,-10,2522
294,0.09384431453685328,-10,2061
294,0.09384431453685328,-10,1475
284,0.09384431453685328,-10,2642
288,0.09384431453685328,-10,1505
285,0.09384431453685328,-10,8481
287,0.09384431453685328,-10,1460
294,0.09384431453685328,-10,13152
296,0.09384431453685328,-10,1271
284,0.09384431453685328,-10,1465
281,0.09384431453685328,-10,1162
286,0.09384431453685328,-10,2756
284,0.09384431453685328,-10,13094
284,0.09384431453685328,-10,25462
284,0.09384431453685328,-10,7937
293,0.09384431453685328,-10,1993
285,0.09384431453685328,-10,1518
292,0.09384431453685328,-10,2799
292,0.09384431453685328,-10,2547
288,0.09384431453685328,-10,1994
306,0.09384431453685328,-10,1906
294,0.09384431453685328,-10,8682
287,0.09384431453685328,-10,8482
286,0.09384431453685328,-10,2645
288,0.09384431453685328,-10,18395
289,0.09384431453685328,-10,4585
284,0.09384431453685328,-10,2005
286,0.09384431453685328,-10,1503
291,0.09384431453685328,-10,4586
282,0.09384431453685328,-10,1015
286,0.09384431453685328,-10,4230
288,0.09384431453685328,-10,25485
286,0.09384431453685328,-10,2647
283,0.09384431453685328,-10,17962
287,0.09384431453685328,-10,8069
284,0.09384431453685328,-10,4598
290,0.09384431453685328,-10,2575
287,0.09384431453685328,-10,1420
296,0.09384431453685328,-10,1911
295,0.09384431453685328,-10,8679
284,0.09384431453685328,-10,2709
288,0.09384431453685328,-10,1732
285,0.09384431453685328,-10,4631
287,0.09384431453685328,-10,4340
294,0.09384431453685328,-10,1925
295,0.09384431453685328,-10,25455
285,0.09384431453685328,-10,2492
281,0.09384431453685328,-10,2775
291,0.09384431453685328,-10,1734
290,0.09384431453685328,-10,2414
288,0.09384431453685328,-10,1735
291,0.09384431453685328,-10,2680
280,0.09384431453685328,-10,8371
287,0.09384431453685328,-10,8163
288,0.09384431453685328,-10,2722
286,0.09384431453685328,-10,14422
286,0.09384431453685328,-10,1039
286,0.09384431453685328,-10,2682
286,0.09384431453685328,-10,2418
289,0.09384431453685328,-10,8164
288,0.09384431453685328,-10,4410
287,0.09384431453685328,-10,2745
288,0.09384431453685328,-10,1983
294,0.09384431453685328,-10,1924
281,0.09384431453685328,-10,1361
294,0.09384431453685328,-10,1754
282,0.09384431453685328,-10,8771
292,0.09384431453685328,-10,2274
283,0.09384431453685328,-10,14414
286,0.09384431453685328,-10,1896
280,0.09384431453685328,-10,2069
284,0.09384431453685328,-10,2533
287,0.09384431453685328,-10,4456
284,0.09384431453685328,-10,18371
290,0.09384431453685328,-10,850
283,0.09384431453685328,-10,17952
286,0.09384431453685328,-10,2704
284,0.09384431453685328,-10,7952
288,0.09384431453685328,-10,1059
289,0.09384431453685328,-10,4531
286,0.09384431453685328,-10,1760
285,0.09384431453685328,-10,1410
294,0.09384431453685328,-10,1432
289,0.09384431453685328,-10,2325
282,0.09384431453685328,-10,2078
285,0.09384431453685328,-10,4564
279,0.09384431453685328,-10,4000
286,0.09384431453685328,-10,1761
281,0.09384431453685328,-10,1571
297,0.09384431453685328,-10,3829
294,0.09384431453685328,-10,8505
282,0.09384431453685328,-10,8691
281,0.09384431453685328,-10,13159
284,0.09384431453685328,-10,17961
284,0.09384431453685328,-10,4265
290,0.09384431453685328,-10,1199
286,0.09384431453685328,-10,1496
287,0.09384431453685328,-10,8929
288,0.09384431453685328,-10,1079
287,0.09384431453685328,-10,3816
285,0.09384431453685328,-10,1830
304,0.09384431453685328,-10,1026
287,0.09384431453685328,-10,4720
287,0.09384431453685328,-10,920
288,0.09384431453685328,-10,2664
286,0.09384431453685328,-10,8735
286,0.09384431453685328,-10,1054
287,0.09384431453685328,-10,2736
288,0.09384431453685328,-10,1218
284,0.09384431453685328,-10,8388
288,0.09384431453685328,-10,4219
292,0.09384431453685328,-10,1034
285,0.09384431453685328,-10,8738
291,0.09384431453685328,-10,17992
291,0.09384431453685328,-10,8027
